name,price_per_night,accommodation_type,distance_label,highlights_section,hotel_rating,user_rating_count,user_average_rating,user_comment,country,city,checkin,checkout,rooms,guests,day_of_week,day_of_month,month,free_wifi,pool,parking,aircond,restaurant,hotel_bar,balcony_patio,spa,gym,hairdryer,kitchen,non_smoking_room,tv_ent,washing_machine,holiday,holiday_name
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",647.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,1,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Dorsett Hartamas Kuala Lumpur,161.0,Hotel,Kuala Lumpur,1,4.0,3006.0,8.3,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,1,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Crowne Plaza Kuala Lumpur City Centre,683.0,Entire House / Apartment,Kuala Lumpur,0,9.3,224.0,9.3,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,1,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Else Kuala Lumpur,618.0,Hotel,Kuala Lumpur,1,9.5,347.0,9.5,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,1,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",647.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,1,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",647.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Dorsett Hartamas Kuala Lumpur,161.0,Hotel,Kuala Lumpur,1,4.0,3006.0,8.3,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Crowne Plaza Kuala Lumpur City Centre,683.0,Entire House / Apartment,Kuala Lumpur,0,9.3,224.0,9.3,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Else Kuala Lumpur,618.0,Hotel,Kuala Lumpur,1,9.5,347.0,9.5,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",647.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"InterContinental Kuala Lumpur, an IHG Hotel",1056.0,Hotel,Kuala Lumpur,1,5.0,25642.0,8.9,Excellent,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,3,Wednesday,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Ascott Sentral Kuala Lumpur,676.0,Hotel,Kuala Lumpur,1,5.0,5710.0,8.9,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,3,Wednesday,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Sunway Putra Hotel Kuala Lumpur,571.0,Hotel,Kuala Lumpur,1,5.0,45425.0,8.7,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,3,Wednesday,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
"Fahrenheit Suites Bukit Bintang, Kuala Lumpur",444.0,Hotel,Kuala Lumpur,1,4.0,2701.0,6.8,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,3,Wednesday,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Sunway Velocity Hotel Kuala Lumpur,467.0,Hotel,Kuala Lumpur,1,4.0,8315.0,8.7,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,3,Wednesday,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",1294.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,2,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Wyndham Suites Klcc,581.0,Hotel,Kuala Lumpur,1,8.6,190.0,8.6,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,2,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Prime Suite at Ampang - Individual Private Rooms,351.0,Serviced apartment,Kuala Lumpur,0,7.4,45.0,7.4,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,2,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Fahrenheit Suites Bukit Bintang, Kuala Lumpur",508.0,Hotel,Kuala Lumpur,1,4.0,2701.0,6.8,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,2,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Fraser Place,601.0,Hotel,Kuala Lumpur,1,4.0,9659.0,8.8,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,2,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",1294.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,2,3,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Fahrenheit Suites Bukit Bintang, Kuala Lumpur",508.0,Hotel,Kuala Lumpur,1,4.0,2701.0,6.8,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,2,3,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Wyndham Suites Klcc,581.0,Hotel,Kuala Lumpur,1,8.6,190.0,8.6,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,2,3,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Prime Suite at Ampang - Individual Private Rooms,351.0,Serviced apartment,Kuala Lumpur,0,7.4,45.0,7.4,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,2,3,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Fraser Place,601.0,Hotel,Kuala Lumpur,1,4.0,9659.0,8.8,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,2,3,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",1941.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,3,3,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Prime Suite at Ampang - Individual Private Rooms,527.0,Serviced apartment,Kuala Lumpur,0,7.4,45.0,7.4,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,3,3,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Fahrenheit Suites Bukit Bintang, Kuala Lumpur",762.0,Hotel,Kuala Lumpur,1,4.0,2701.0,6.8,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,3,3,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Fraser Place,901.0,Hotel,Kuala Lumpur,1,4.0,9659.0,8.8,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,3,3,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Novo Kuala Lumpur,830.0,Entire House / Apartment,Kuala Lumpur,0,8.0,8.0,8.0,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,3,3,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",510.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,1,Saturday,11,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Dorsett Hartamas Kuala Lumpur,183.0,Hotel,Kuala Lumpur,1,4.0,3006.0,8.3,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,1,Saturday,11,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Ascott Kuala Lumpur,592.0,Hotel,Kuala Lumpur,1,5.0,10387.0,8.7,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,1,Saturday,11,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
"InterContinental Kuala Lumpur, an IHG Hotel",463.0,Hotel,Kuala Lumpur,1,5.0,25642.0,8.9,Excellent,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,1,Saturday,11,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Else Kuala Lumpur,665.0,Hotel,Kuala Lumpur,1,9.5,347.0,9.5,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,1,Saturday,11,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",510.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,2,Saturday,11,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Ascott Kuala Lumpur,592.0,Hotel,Kuala Lumpur,1,5.0,10387.0,8.7,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,2,Saturday,11,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Else Kuala Lumpur,665.0,Hotel,Kuala Lumpur,1,9.5,347.0,9.5,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,2,Saturday,11,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Sunway Putra Hotel Kuala Lumpur,284.0,Hotel,Kuala Lumpur,1,5.0,45425.0,8.7,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,2,Saturday,11,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",510.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,2,Saturday,11,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
"InterContinental Kuala Lumpur, an IHG Hotel",630.0,Hotel,Kuala Lumpur,1,5.0,25642.0,8.9,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,3,Saturday,11,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Dorsett Hartamas Kuala Lumpur,322.0,Hotel,Kuala Lumpur,1,4.0,3006.0,8.3,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,3,Saturday,11,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Sunway Velocity Hotel Kuala Lumpur,467.0,Hotel,Kuala Lumpur,1,4.0,8315.0,8.7,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,3,Saturday,11,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
The Westin Kuala Lumpur,734.0,Hotel,Kuala Lumpur,1,5.0,23344.0,8.7,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,3,Saturday,11,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Ascott Sentral Kuala Lumpur,535.0,Hotel,Kuala Lumpur,1,5.0,5710.0,8.9,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,1,3,Saturday,11,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",1020.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,2,2,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Prime Suite at Ampang - Individual Private Rooms,353.0,Serviced apartment,Kuala Lumpur,0,7.4,45.0,7.4,Fair,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,2,2,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Yemala Suites At Platinum Klcc,581.0,Entire House / Apartment,Kuala Lumpur,1,8.5,40.0,8.5,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,2,2,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Fraser Place,618.0,Hotel,Kuala Lumpur,1,4.0,9659.0,8.8,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,2,2,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Fahrenheit Suites Bukit Bintang, Kuala Lumpur",469.0,Hotel,Kuala Lumpur,1,4.0,2701.0,6.8,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,2,2,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",1020.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,2,3,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Prime Suite at Ampang - Individual Private Rooms,353.0,Serviced apartment,Kuala Lumpur,0,7.4,45.0,7.4,Fair,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,2,3,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Yemala Suites At Platinum Klcc,581.0,Entire House / Apartment,Kuala Lumpur,1,8.5,40.0,8.5,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,2,3,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Fraser Place,618.0,Hotel,Kuala Lumpur,1,4.0,9659.0,8.8,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,2,3,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Ascott Sentral Kuala Lumpur,695.0,Hotel,Kuala Lumpur,1,5.0,5710.0,8.9,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,2,3,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",1529.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,3,3,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Prime Suite at Ampang - Individual Private Rooms,529.0,Serviced apartment,Kuala Lumpur,0,7.4,45.0,7.4,Fair,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,3,3,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Yemala Suites At Platinum Klcc,872.0,Entire House / Apartment,Kuala Lumpur,1,8.5,40.0,8.5,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,3,3,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Fahrenheit Suites Bukit Bintang, Kuala Lumpur",704.0,Hotel,Kuala Lumpur,1,4.0,2701.0,6.8,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,3,3,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Bintang Collectionz Hotel,698.0,Hotel,Kuala Lumpur,1,4.0,59.0,8.4,,Malaysia,Kuala Lumpur,2025-01-11,2025-01-12,3,3,Saturday,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",485.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,1,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Dorsett Hartamas Kuala Lumpur,174.0,Hotel,Kuala Lumpur,1,4.0,3006.0,8.3,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,1,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"InterContinental Kuala Lumpur, an IHG Hotel",463.0,Hotel,Kuala Lumpur,1,5.0,25642.0,8.9,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,1,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Ascott Kuala Lumpur,727.0,Hotel,Kuala Lumpur,1,5.0,10387.0,8.7,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,1,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",485.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,1,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",485.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,2,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Dorsett Hartamas Kuala Lumpur,174.0,Hotel,Kuala Lumpur,1,4.0,3006.0,8.3,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,2,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Else Kuala Lumpur,618.0,Hotel,Kuala Lumpur,1,9.5,347.0,9.5,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,2,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Crowne Plaza Kuala Lumpur City Centre,593.0,Entire House / Apartment,Kuala Lumpur,0,9.3,224.0,9.3,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,2,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",485.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,2,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"InterContinental Kuala Lumpur, an IHG Hotel",630.0,Hotel,Kuala Lumpur,1,5.0,25642.0,8.9,Excellent,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,3,Tuesday,21,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Dorsett Hartamas Kuala Lumpur,322.0,Hotel,Kuala Lumpur,1,4.0,3006.0,8.3,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,3,Tuesday,21,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
"The Ritz-Carlton, Kuala Lumpur",802.0,Hotel,Kuala Lumpur,1,5.0,13275.0,8.8,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,3,Tuesday,21,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Ascott Sentral Kuala Lumpur,509.0,Hotel,Kuala Lumpur,1,5.0,5710.0,8.9,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,3,Tuesday,21,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Sunway Velocity Hotel Kuala Lumpur,432.0,Hotel,Kuala Lumpur,1,4.0,8315.0,8.7,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,1,3,Tuesday,21,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",970.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,2,2,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Prime Suite at Ampang - Individual Private Rooms,353.0,Serviced apartment,Kuala Lumpur,0,7.4,45.0,7.4,Fair,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,2,2,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
The Gardens-A St Giles Signature Hotel & Residence,723.0,Hotel,Kuala Lumpur,1,5.0,21362.0,8.3,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,2,2,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Yemala Suites At Platinum Klcc,541.0,Entire House / Apartment,Kuala Lumpur,1,8.5,40.0,8.5,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,2,2,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Fraser Place,620.0,Hotel,Kuala Lumpur,1,4.0,9659.0,8.8,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,2,2,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",970.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,2,3,Tuesday,21,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Prime Suite at Ampang - Individual Private Rooms,353.0,Serviced apartment,Kuala Lumpur,0,7.4,45.0,7.4,Fair,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,2,3,Tuesday,21,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
The Gardens-A St Giles Signature Hotel & Residence,723.0,Hotel,Kuala Lumpur,1,5.0,21362.0,8.3,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,2,3,Tuesday,21,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Yemala Suites At Platinum Klcc,541.0,Entire House / Apartment,Kuala Lumpur,1,8.5,40.0,8.5,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,2,3,Tuesday,21,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Fraser Place,620.0,Hotel,Kuala Lumpur,1,4.0,9659.0,8.8,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,2,3,Tuesday,21,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",1455.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,3,3,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Prime Suite at Ampang - Individual Private Rooms,529.0,Serviced apartment,Kuala Lumpur,0,7.4,45.0,7.4,Fair,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,3,3,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Yemala Suites At Platinum Klcc,811.0,Entire House / Apartment,Kuala Lumpur,1,8.5,40.0,8.5,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,3,3,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Fahrenheit Suites Bukit Bintang, Kuala Lumpur",684.0,Hotel,Kuala Lumpur,1,4.0,2701.0,6.8,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,3,3,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Bintang Collectionz Hotel,628.0,Hotel,Kuala Lumpur,1,4.0,59.0,8.4,,Malaysia,Kuala Lumpur,2025-01-21,2025-01-22,3,3,Tuesday,21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",534.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,1,Friday,31,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Dorsett Hartamas Kuala Lumpur,173.0,Hotel,Kuala Lumpur,1,4.0,3006.0,8.3,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,1,Friday,31,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Ascott Kuala Lumpur,676.0,Hotel,Kuala Lumpur,1,5.0,10387.0,8.7,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,1,Friday,31,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Santa Grand Signature Kuala Lumpur,230.0,Hotel,Kuala Lumpur,1,4.0,7501.0,8.6,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,1,Friday,31,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",534.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,1,Friday,31,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",534.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,2,Friday,31,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Ascott Kuala Lumpur,676.0,Hotel,Kuala Lumpur,1,5.0,10387.0,8.7,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,2,Friday,31,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Dorsett Hartamas Kuala Lumpur,173.0,Hotel,Kuala Lumpur,1,4.0,3006.0,8.3,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,2,Friday,31,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
Crowne Plaza Kuala Lumpur City Centre,557.0,Entire House / Apartment,Kuala Lumpur,0,9.3,224.0,9.3,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,2,Friday,31,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",534.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,2,Friday,31,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
"InterContinental Kuala Lumpur, an IHG Hotel",722.0,Hotel,Kuala Lumpur,1,5.0,25642.0,8.9,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,3,Friday,31,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Sunway Putra Hotel Kuala Lumpur,431.0,Hotel,Kuala Lumpur,1,5.0,45425.0,8.7,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,3,Friday,31,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Sunway Velocity Hotel Kuala Lumpur,467.0,Hotel,Kuala Lumpur,1,4.0,8315.0,8.7,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,3,Friday,31,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
Wyndham Suites Klcc,479.0,Hotel,Kuala Lumpur,1,8.6,190.0,8.6,,Malaysia,Kuala Lumpur,2025-01-31,2025-02-01,1,3,Friday,31,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,
